Image,PSNR,Entropy,Enc_Time,Dec_Time,Security
image(2).jpg,100,7.842711848540018,0.0,0.0,Attack
image(20).jpg,100,7.967272493817979,0.0,0.0,Attack
image(21).jpg,100,7.944334254842399,0.0,0.0,Attack
image(22).jpg,100,7.956611275103802,0.0,0.0,Attack
image(23).jpg,100,7.954140432764127,0.0,0.0,Attack
image(24).jpg,100,7.942825074483926,0.0,0.0,Attack
image(25).jpg,100,7.960803217518545,0.0,0.0020093917846679688,Attack
image(26).jpg,100,7.820022742427572,0.0,0.0,Attack
image(27).jpg,100,7.835260234796729,0.0,0.0,Attack
image(28).jpg,100,7.950601014020146,0.0,0.0,Attack
image(29).jpg,100,7.930991229757768,0.0,0.0,Attack
image(3).jpg,100,7.7818769473127425,0.002008676528930664,0.0,Attack
image(30).jpg,100,7.975649929764634,0.0,0.0,Attack
image(31).jpg,100,7.872053667051756,0.0,0.0,Attack
image(32).jpg,100,7.835799503723079,0.0020041465759277344,0.0,Attack
image(33).jpg,100,7.862456937153759,0.0,0.0,Attack
image(34).jpg,100,7.945602855155395,0.0,0.0,Attack
image(35).jpg,100,7.970800515593736,0.002012968063354492,0.0,Attack
image(36).jpg,100,7.867221859193808,0.0,0.0,Attack
image(37).jpg,100,7.855958233245058,0.0,0.0,Attack
image(38).jpg,100,7.963695078135003,0.0,0.0,Attack
image(39).jpg,100,7.958284137349249,0.0,0.0,Attack
image(4).jpg,100,7.815334034408785,0.0,0.0,Attack
image(40).jpg,100,7.883741208952982,0.0,0.0,Attack
image(41).jpg,100,7.9715533781614,0.0,0.0,Attack
image(42).jpg,100,7.9782029707277555,0.0,0.0,Attack
image(43).jpg,100,7.909684498200919,0.0,0.0,Attack
image(44).jpg,100,7.787117555597827,0.0,0.0,Attack
image(45).jpg,100,7.603215791094944,0.0,0.0,Attack
image(46).jpg,100,7.894053504658469,0.002005338668823242,0.0,Attack
image(47).jpg,100,7.5475096147343494,0.002008676528930664,0.0,Attack
image(48).jpg,100,7.912099276275892,0.002009868621826172,0.0,Attack
image(49).jpg,100,7.690835262059522,0.0,0.0,Attack
image(5).jpg,100,7.7869651814107685,0.0,0.0,Attack
image(50).jpg,100,7.770398218331365,0.0,0.0,Attack
image(51).jpg,100,7.8907028855686345,0.0008666515350341797,0.0,Attack
image(52).jpg,100,7.955381069101191,0.0,0.0013096332550048828,Attack
image(53).jpg,100,7.577008176153269,0.0,0.0,Attack
image(54).jpg,100,7.729694465102041,0.0,0.0,Attack
image(55).jpg,100,7.810680663341486,0.0,0.0017523765563964844,Attack
image(56).jpg,100,7.849663763134599,0.0,0.0,Attack
image(57).jpg,100,7.901087115535873,0.0,0.0,Attack
image(58).jpg,100,7.934167131587159,0.0,0.0,Attack
image(59).jpg,100,7.769574541805599,0.0,0.0,Attack
image(6).jpg,100,7.813224431468029,0.0,0.0,Attack
