Image,PSNR,Entropy,Enc_Time,Dec_Time,Security
brain (84).jpg,100,7.985396064061614,0.0010001659393310547,0.0,Attack
brain (85).jpg,100,7.906468670878407,0.0,0.0,Attack
brain (86).jpg,100,7.898762309490921,0.0,0.0,Normal
brain (87).jpg,100,7.938055015932022,0.0,0.0,Attack
brain (88).jpg,100,7.8954782083462405,0.0,0.0009996891021728516,Normal
brain (89).jpg,100,7.540578899116493,0.0,0.0,Attack
brain (9).jpg,100,7.9718570807861635,0.0,0.0,Attack
brain (90).jpg,100,7.840768380151759,0.0,0.0,Attack
brain (91).jpg,100,7.864163941634844,0.0,0.0,Attack
brain (92).jpg,100,7.8334832254665,0.0,0.0,Attack
brain (93).jpg,100,7.929790097606215,0.0,0.0,Normal
brain (94).jpg,100,7.9303829297830735,0.0,0.002011537551879883,Attack
brain (95).jpg,100,7.761255005804519,0.0,0.0,Attack
brain (96).jpg,100,7.8520440723763425,0.0,0.0,Attack
brain (97).jpg,100,7.8967988770596005,0.0,0.0,Normal
brain (98).jpg,100,7.912779731569193,0.0,0.0,Normal
brain (99).jpg,100,7.834638467081859,0.0,0.0,Normal
image(1).jpg,100,7.942197266899831,0.0,0.0,Normal
image(10).jpg,100,7.942611835514601,0.0,0.0,Attack
image(100).jpg,100,7.853365846069467,0.0,0.0,Attack
image(102).jpg,100,7.951945162999568,0.0,0.0,Attack
image(106).jpg,100,7.903909118454154,0.0,0.0,Normal
image(107).jpg,100,7.857601572630183,0.0,0.0,Attack
image(109).jpg,100,7.945980264791773,0.0,0.0020067691802978516,Normal
image(11).jpg,100,7.985725764848146,0.0,0.0,Attack
image(112).jpg,100,7.921716893922866,0.0,0.0,Attack
image(113).jpg,100,7.875168689127957,0.0,0.0,Attack
image(118).jpg,100,7.912983169443163,0.0,0.0,Attack
image(12).jpg,100,7.975875813649475,0.0,0.0,Attack
image(120).jpg,100,7.852594467118653,0.0,0.0,Attack
image(121).jpg,100,7.973553385734233,0.0,0.0017423629760742188,Normal
image(123).jpg,100,7.948502821253101,0.0,0.0,Attack
image(124).jpg,100,7.834195429128059,0.0,0.0,Attack
image(125).jpg,100,7.963561104299709,0.0,0.0,Normal
image(126).jpg,100,7.93506290765156,0.0,0.0,Normal
image(127).jpg,100,7.9000680382674755,0.0,0.0,Attack
image(13).jpg,100,7.939511808770109,0.0,0.0,Attack
image(14).jpg,100,7.977764910292086,0.0,0.0,Attack
image(15).jpg,100,7.953903062166615,0.0,0.0,Normal
image(16).jpg,100,7.954272448649332,0.0,0.0,Normal
image(17).jpg,100,7.991544497635751,0.0,0.0,Normal
image(18).jpg,100,7.957433449751612,0.0,0.0,Attack
image(19).jpg,100,7.810260342357667,0.0,0.0,Attack
